Timestamp,Class,Class Icon,Location,Duration,Total Silver,Silver/Hr,Trash/Hr,Loot Summary,Raw Data
2026-05-15 05:03:14,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:02:39,24434245,548821249,0,"discarded kkebicap (x95), caphras stone (x8)","{""discarded kkebicap"": {""qty"": 95, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 8, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}}"
2026-05-16 00:14:52,Succession Musa,class_icons/Musa_class_icon_White.png,SEARCHING...,00:00:02,0,0,0,,{}
2026-05-16 00:55:19,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:02:02,6886801,202100286,0,discarded kkebicap (x131),"{""discarded kkebicap"": {""qty"": 131, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}}"
2026-05-16 00:58:10,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:02:34,81105634,1886025695,0,"discarded kkebicap (x854), caphras stone (x13), ancient spirit dust (x11)","{""discarded kkebicap"": {""qty"": 854, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 13, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""ancient spirit dust"": {""qty"": 11, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}}"
2026-05-16 01:00:21,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:36,0,0,0,,{}
2026-05-16 01:11:18,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:02:08,31222630,872806392,0,"discarded kkebicap (x530), ancient spirit dust (x8)","{""discarded kkebicap"": {""qty"": 530, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""ancient spirit dust"": {""qty"": 8, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}}"
2026-05-16 01:56:21,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:10:56,321895640,1762896489,26506,"discarded kkebicap (x4840), ancient spirit dust (x47), caphras stone (x19), black stone (x6)","{""discarded kkebicap"": {""qty"": 4840, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""ancient spirit dust"": {""qty"": 47, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""caphras stone"": {""qty"": 19, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""black stone"": {""qty"": 6, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}}"
2026-05-16 02:19:12,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:10:07,337051456,1995086606,23298,"discarded kkebicap (x3936), caphras stone (x9), won dawn crystal - accuracy (x1), ancient spirit dust (x16), black stone (x6)","{""discarded kkebicap"": {""qty"": 3936, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 9, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""won dawn crystal - accuracy"": {""qty"": 1, ""price"": 100000000, ""icon"": ""https://assets.garmoth.com/img/new_icon/03_etc/04_dropitem/00015269.webp""}, ""ancient spirit dust"": {""qty"": 16, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""black stone"": {""qty"": 6, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}}"
2026-05-16 03:11:10,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:11:45,321727707,1641976324,20501,"discarded kkebicap (x4017), ancient spirit dust (x13), caphras stone (x15), black stone (x20), won dawn crystal - all ap (x1)","{""discarded kkebicap"": {""qty"": 4017, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""ancient spirit dust"": {""qty"": 13, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""caphras stone"": {""qty"": 15, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""black stone"": {""qty"": 20, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}, ""won dawn crystal - all ap"": {""qty"": 1, ""price"": 63500000, ""icon"": ""drop_icons/15263.png""}}"
2026-05-16 03:29:57,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:10:40,264959379,1488153984,24987,"discarded kkebicap (x4449), black stone (x33), ancient spirit dust (x48), caphras stone (x1)","{""discarded kkebicap"": {""qty"": 4449, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""black stone"": {""qty"": 33, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}, ""ancient spirit dust"": {""qty"": 48, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""caphras stone"": {""qty"": 1, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}}"
2026-05-16 04:01:40,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:10:44,279072940,1559214811,17543,"discarded kkebicap (x3140), ancient spirit dust (x26), caphras stone (x6), won dawn crystal - black spirit's rage (x1)","{""discarded kkebicap"": {""qty"": 3140, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""ancient spirit dust"": {""qty"": 26, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""caphras stone"": {""qty"": 6, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""won dawn crystal - black spirit's rage"": {""qty"": 1, ""price"": 88500000, ""icon"": ""drop_icons/15266.png""}}"
2026-05-16 04:14:31,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:11:20,254150225,1344301476,23670,"discarded kkebicap (x4475), caphras stone (x5), ancient spirit dust (x13), black stone (x5)","{""discarded kkebicap"": {""qty"": 4475, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 5, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""ancient spirit dust"": {""qty"": 13, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""black stone"": {""qty"": 5, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}}"
2026-05-16 04:43:41,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:09:08,196256012,1286584576,19483,"discarded kkebicap (x2972), caphras stone (x13), black stone (x5), ancient spirit dust (x17)","{""discarded kkebicap"": {""qty"": 2972, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 13, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""black stone"": {""qty"": 5, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}, ""ancient spirit dust"": {""qty"": 17, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}}"
2026-05-16 05:06:34,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:11:26,258148384,1351488341,21485,"discarded kkebicap (x4104), ancient spirit dust (x19), caphras stone (x13), black stone (x11)","{""discarded kkebicap"": {""qty"": 4104, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""ancient spirit dust"": {""qty"": 19, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""caphras stone"": {""qty"": 13, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""black stone"": {""qty"": 11, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}}"
2026-05-16 05:31:42,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:10:53,285985644,1573561997,22911,"discarded kkebicap (x4164), ancient spirit dust (x44), caphras stone (x20)","{""discarded kkebicap"": {""qty"": 4164, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""ancient spirit dust"": {""qty"": 44, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""caphras stone"": {""qty"": 20, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}}"
2026-05-16 05:46:34,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:11:13,375844971,2006858986,23499,"discarded kkebicap (x4401), ancient spirit dust (x6), caphras stone (x22), won dawn crystal - black spirit's rage (x1)","{""discarded kkebicap"": {""qty"": 4401, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""ancient spirit dust"": {""qty"": 6, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""caphras stone"": {""qty"": 22, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""won dawn crystal - black spirit's rage"": {""qty"": 1, ""price"": 88500000, ""icon"": ""drop_icons/15266.png""}}"
2026-05-16 05:59:37,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:07:51,213199571,1627257870,15272,"discarded kkebicap (x2001), black stone (x5), ancient spirit dust (x16), won dawn crystal - evasion (x1)","{""discarded kkebicap"": {""qty"": 2001, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""black stone"": {""qty"": 5, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}, ""ancient spirit dust"": {""qty"": 16, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""won dawn crystal - evasion"": {""qty"": 1, ""price"": 100000000, ""icon"": ""https://assets.garmoth.com/img/new_icon/03_etc/04_dropitem/00015275.webp""}}"
2026-05-16 06:08:54,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:07,0,0,0,,{}
2026-05-16 06:22:05,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:11:09,362305970,1946593015,21867,"discarded kkebicap (x4070), caphras stone (x4), ancient spirit dust (x24), black stone (x6), won dawn crystal - all ap (x2)","{""discarded kkebicap"": {""qty"": 4070, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 4, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""ancient spirit dust"": {""qty"": 24, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}, ""black stone"": {""qty"": 6, ""price"": 257000, ""icon"": ""drop_icons/16001.png""}, ""won dawn crystal - all ap"": {""qty"": 2, ""price"": 63500000, ""icon"": ""drop_icons/15263.png""}}"
2026-05-17 00:38:33,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:15:37,290737901,1115934853,16239,"discarded kkebicap (x4231), caphras stone (x25), ancient spirit dust (x18)","{""discarded kkebicap"": {""qty"": 4231, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 25, ""price"": 2430000, ""icon"": ""drop_icons/721003.png""}, ""ancient spirit dust"": {""qty"": 18, ""price"": 420000, ""icon"": ""drop_icons/721002.png""}}"
